,frame,x,y,r,name,sample_rate,examplenr
274,275,962,336,164,framenr_275_framevid_June09_01,25.0,exp5
275,276,1006,466,236,framenr_276_framevid_June09_01,25.0,exp5
276,277,928,278,176,framenr_277_framevid_June09_01,25.0,exp5
277,278,936,450,207,framenr_278_framevid_June09_01,25.0,exp5
278,279,958,238,161,framenr_279_framevid_June09_01,25.0,exp5
279,280,956,244,158,framenr_280_framevid_June09_01,25.0,exp5
280,281,966,242,159,framenr_281_framevid_June09_01,25.0,exp5
281,282,744,656,128,framenr_282_framevid_June09_01,25.0,exp5
282,283,1030,416,256,framenr_283_framevid_June09_01,25.0,exp5
283,284,746,592,194,framenr_284_framevid_June09_01,25.0,exp5
284,285,1054,402,257,framenr_285_framevid_June09_01,25.0,exp5
285,286,792,580,201,framenr_286_framevid_June09_01,25.0,exp5
286,287,1104,426,243,framenr_287_framevid_June09_01,25.0,exp5
287,288,328,674,253,framenr_288_framevid_June09_01,25.0,exp5
288,289,1052,234,180,framenr_289_framevid_June09_01,25.0,exp5
289,290,336,722,241,framenr_290_framevid_June09_01,25.0,exp5
290,291,358,508,190,framenr_291_framevid_June09_01,25.0,exp5
291,292,384,580,239,framenr_292_framevid_June09_01,25.0,exp5
292,293,1042,428,239,framenr_293_framevid_June09_01,25.0,exp5
293,294,1036,402,241,framenr_294_framevid_June09_01,25.0,exp5
294,295,1040,404,266,framenr_295_framevid_June09_01,25.0,exp5
295,296,706,546,263,framenr_296_framevid_June09_01,25.0,exp5
296,297,1068,316,208,framenr_297_framevid_June09_01,25.0,exp5
297,298,1116,268,140,framenr_298_framevid_June09_01,25.0,exp5
298,299,1088,298,244,framenr_299_framevid_June09_01,25.0,exp5
299,300,1076,390,257,framenr_300_framevid_June09_01,25.0,exp5
300,301,1088,438,203,framenr_301_framevid_June09_01,25.0,exp5
