scorer,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000
bodyparts,UpperLip,UpperLip,UpperLip,LowerLip,LowerLip,LowerLip,Nose,Nose,Nose,EyeBridge,EyeBridge,EyeBridge,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_right,Start_outline_outer_right,Start_outline_outer_right,LowestPoint_outline,LowestPoint_outline,LowestPoint_outline,MidLowleft_outline,MidLowleft_outline,MidLowleft_outline,MidLowright_outline,MidLowright_outline,MidLowright_outline
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1312.1102294921875,286.8777770996094,0.9976309537887573,1327.7293701171875,309.2309265136719,0.9986308217048645,1240.6026611328125,239.64071655273438,0.9966641068458557,1152.3935546875,230.52040100097656,0.9981233477592468,951.088134765625,909.625244140625,0.998481810092926,1330.7325439453125,473.9124755859375,0.9976430535316467,1346.9569091796875,838.27783203125,0.9983117580413818,1166.572998046875,950.2180786132812,0.9986489415168762,1398.794921875,661.3933715820312,0.9909017086029053
9,1308.7696533203125,283.62359619140625,0.9951222538948059,1322.1171875,301.3162536621094,0.9976732134819031,1239.9000244140625,236.25962829589844,0.9866847395896912,1146.138916015625,227.1540069580078,0.9989359974861145,945.7332763671875,908.8197631835938,0.9968618154525757,1330.7325439453125,467.44976806640625,0.9867485761642456,1346.9569091796875,834.7793579101562,0.998430073261261,1189.185791015625,950.2180786132812,0.6632614135742188,1398.2803955078125,646.0092163085938,0.9920529127120972
10,1304.290771484375,272.9411926269531,0.9984246492385864,1319.0050048828125,290.6002502441406,0.9994261264801025,1236.4261474609375,227.0257110595703,0.9990045428276062,1142.886474609375,221.92356872558594,0.9993677735328674,940.4601440429688,907.15283203125,0.9949276447296143,1324.3702392578125,460.48162841796875,0.9910848736763,1346.9569091796875,833.1688232421875,0.9983215928077698,1189.185791015625,947.8136596679688,0.9932971596717834,1398.5294189453125,645.489013671875,0.997334897518158
11,1298.1888427734375,266.9342956542969,0.99649578332901,1311.2789306640625,280.5456237792969,0.9975109100341797,1234.1690673828125,216.18417358398438,0.9988841414451599,1135.4417724609375,212.6409912109375,0.9990192651748657,939.6565551757812,906.4296875,0.994088888168335,1323.6434326171875,454.8348083496094,0.9925724267959595,1346.4202880859375,831.0653686523438,0.995431661605835,1189.185791015625,945.7825317382812,0.9624916911125183,1399.1893310546875,644.641845703125,0.9961156845092773
12,1289.1007080078125,254.88978576660156,0.9976089000701904,1302.913330078125,269.7872314453125,0.9996947050094604,1230.21923828125,206.9648895263672,0.9950660467147827,1128.2442626953125,204.3920440673828,0.9988163709640503,933.9588012695312,902.1097412109375,0.9990660548210144,1321.6712646484375,449.84906005859375,0.9934064149856567,1345.7156982421875,830.6864624023438,0.9959002137184143,1188.0755615234375,943.2060546875,0.9580017328262329,1399.1893310546875,631.2135009765625,0.9974853992462158
13,1280.4981689453125,241.9127960205078,0.9982953667640686,1295.50537109375,257.61602783203125,0.9991840720176697,1222.53076171875,196.16482543945312,0.9991027116775513,1120.7271728515625,193.60504150390625,0.9994990825653076,932.3369750976562,899.164306640625,0.9996082186698914,1313.7271728515625,423.11029052734375,0.9899064898490906,1343.4720458984375,821.95361328125,0.9975616931915283,1187.4326171875,939.2918701171875,0.9762234687805176,1401.815185546875,621.485107421875,0.9833577275276184
14,1271.115234375,230.9828643798828,0.9993802309036255,1288.101318359375,247.68861389160156,0.9990295171737671,1213.5323486328125,185.68650817871094,0.992212176322937,1112.7205810546875,186.0724334716797,0.9982484579086304,928.1519775390625,897.1808471679688,0.9972270131111145,1309.911865234375,420.8468933105469,0.9981006979942322,1342.732666015625,819.7286376953125,0.9976970553398132,1153.0313720703125,938.0078125,0.9863627552986145,1404.8297119140625,612.6751708984375,0.9869529008865356
15,1263.21142578125,222.01126098632812,0.9984388947486877,1278.8948974609375,240.44488525390625,0.9989008903503418,1201.016357421875,180.125,0.9990918636322021,1102.7254638671875,179.6637420654297,0.9991588592529297,928.0953369140625,895.633056640625,0.998327910900116,1308.660400390625,417.2275390625,0.9977947473526001,1343.4720458984375,816.7074584960938,0.9961280226707458,1151.8851318359375,935.8616333007812,0.9952612519264221,1405.48095703125,611.126220703125,0.9756566286087036
16,1256.1292724609375,212.72018432617188,0.9996668100357056,1274.55810546875,232.7924346923828,0.9984909296035767,1192.9144287109375,171.43145751953125,0.9924700260162354,1096.7401123046875,173.6827850341797,0.998252809047699,927.5675048828125,894.4644165039062,0.9987372756004333,1307.6702880859375,408.35028076171875,0.9982669353485107,1342.732666015625,811.752685546875,0.9947570562362671,1151.8851318359375,934.9947509765625,0.994732141494751,1405.48095703125,607.83544921875,0.9392319321632385
17,1251.2467041015625,205.22447204589844,0.9994644522666931,1269.369384765625,227.21484375,0.9996758699417114,1191.4478759765625,165.4320068359375,0.9975695013999939,1091.6416015625,166.64564514160156,0.9989153146743774,923.9783325195312,887.3235473632812,0.9987448453903198,1303.8743896484375,402.840087890625,0.9988023042678833,1342.732666015625,806.4713745117188,0.9980019927024841,1151.8851318359375,929.385498046875,0.9968252182006836,1405.48095703125,605.3215942382812,0.9808202981948853
