,frame,x,y,r,namefr,sample_rate
113,114,1214,458,180,framenr_114_framevid_example8,50.0
114,115,1254,460,208,framenr_115_framevid_example8,50.0
115,116,1256,454,167,framenr_116_framevid_example8,50.0
116,117,1460,354,120,framenr_117_framevid_example8,50.0
117,118,984,594,80,framenr_118_framevid_example8,50.0
118,119,1228,484,210,framenr_119_framevid_example8,50.0
119,120,1172,526,174,framenr_120_framevid_example8,50.0
120,121,1252,456,168,framenr_121_framevid_example8,50.0
121,122,1228,438,168,framenr_122_framevid_example8,50.0
122,123,1100,624,146,framenr_123_framevid_example8,50.0
123,124,1198,472,142,framenr_124_framevid_example8,50.0
124,125,1104,624,142,framenr_125_framevid_example8,50.0
125,126,1108,634,146,framenr_126_framevid_example8,50.0
126,127,1236,538,161,framenr_127_framevid_example8,50.0
127,128,1162,492,127,framenr_128_framevid_example8,50.0
128,129,1100,622,155,framenr_129_framevid_example8,50.0
129,130,1190,474,180,framenr_130_framevid_example8,50.0
130,131,1072,642,153,framenr_131_framevid_example8,50.0
131,132,1226,428,163,framenr_132_framevid_example8,50.0
132,133,1100,628,96,framenr_133_framevid_example8,50.0
133,134,1204,500,208,framenr_134_framevid_example8,50.0
134,135,1200,502,206,framenr_135_framevid_example8,50.0
135,136,1160,556,80,framenr_136_framevid_example8,50.0
136,137,1152,446,133,framenr_137_framevid_example8,50.0
137,138,1182,492,188,framenr_138_framevid_example8,50.0
138,139,990,668,48,framenr_139_framevid_example8,50.0
139,140,502,508,157,framenr_140_framevid_example8,50.0
140,141,1166,498,181,framenr_141_framevid_example8,50.0
141,142,1170,500,184,framenr_142_framevid_example8,50.0
142,143,1078,646,167,framenr_143_framevid_example8,50.0
143,144,1050,670,164,framenr_144_framevid_example8,50.0
144,145,1178,512,201,framenr_145_framevid_example8,50.0
145,146,1168,514,196,framenr_146_framevid_example8,50.0
146,147,1156,476,160,framenr_147_framevid_example8,50.0
147,148,1066,662,134,framenr_148_framevid_example8,50.0
148,149,1040,704,255,framenr_149_framevid_example8,50.0
149,150,1166,518,157,framenr_150_framevid_example8,50.0
150,151,1176,504,151,framenr_151_framevid_example8,50.0
151,152,1164,512,194,framenr_152_framevid_example8,50.0
152,153,1164,514,199,framenr_153_framevid_example8,50.0
153,154,1030,686,150,framenr_154_framevid_example8,50.0
154,155,1054,662,134,framenr_155_framevid_example8,50.0
155,156,1194,464,178,framenr_156_framevid_example8,50.0
156,157,1272,442,157,framenr_157_framevid_example8,50.0
157,158,1168,514,205,framenr_158_framevid_example8,50.0
158,159,1056,662,109,framenr_159_framevid_example8,50.0
159,160,1188,468,180,framenr_160_framevid_example8,50.0
160,161,1048,664,114,framenr_161_framevid_example8,50.0
161,162,1154,522,206,framenr_162_framevid_example8,50.0
162,163,1048,648,102,framenr_163_framevid_example8,50.0
163,164,1184,466,178,framenr_164_framevid_example8,50.0
164,165,1062,656,150,framenr_165_framevid_example8,50.0
165,166,1244,454,153,framenr_166_framevid_example8,50.0
166,167,994,636,82,framenr_167_framevid_example8,50.0
167,168,1174,442,157,framenr_168_framevid_example8,50.0
168,169,1124,468,150,framenr_169_framevid_example8,50.0
169,170,1230,496,119,framenr_170_framevid_example8,50.0
170,171,948,628,52,framenr_171_framevid_example8,50.0
171,172,952,600,123,framenr_172_framevid_example8,50.0
172,173,1148,514,208,framenr_173_framevid_example8,50.0
173,174,938,694,117,framenr_174_framevid_example8,50.0
174,175,1142,510,160,framenr_175_framevid_example8,50.0
175,176,1240,436,154,framenr_176_framevid_example8,50.0
176,177,1136,514,210,framenr_177_framevid_example8,50.0
177,178,1132,510,206,framenr_178_framevid_example8,50.0
178,179,1110,488,175,framenr_179_framevid_example8,50.0
179,180,1136,512,211,framenr_180_framevid_example8,50.0
180,181,1114,508,122,framenr_181_framevid_example8,50.0
181,182,964,838,137,framenr_182_framevid_example8,50.0
182,183,1002,880,78,framenr_183_framevid_example8,50.0
183,184,1122,516,210,framenr_184_framevid_example8,50.0
184,185,960,844,131,framenr_185_framevid_example8,50.0
185,186,968,848,120,framenr_186_framevid_example8,50.0
186,187,842,624,61,framenr_187_framevid_example8,50.0
187,188,1104,460,167,framenr_188_framevid_example8,50.0
188,189,1398,324,157,framenr_189_framevid_example8,50.0
189,190,1098,506,232,framenr_190_framevid_example8,50.0
190,191,1406,326,151,framenr_191_framevid_example8,50.0
191,192,1046,556,165,framenr_192_framevid_example8,50.0
192,193,1124,482,183,framenr_193_framevid_example8,50.0
193,194,1104,470,160,framenr_194_framevid_example8,50.0
194,195,1078,500,127,framenr_195_framevid_example8,50.0
195,196,1116,518,208,framenr_196_framevid_example8,50.0
196,197,1122,522,167,framenr_197_framevid_example8,50.0
197,198,800,594,204,framenr_198_framevid_example8,50.0
198,199,768,598,154,framenr_199_framevid_example8,50.0
199,200,798,558,243,framenr_200_framevid_example8,50.0
200,201,770,626,188,framenr_201_framevid_example8,50.0
201,202,774,628,195,framenr_202_framevid_example8,50.0
202,203,762,630,174,framenr_203_framevid_example8,50.0
203,204,750,646,171,framenr_204_framevid_example8,50.0
204,205,774,636,198,framenr_205_framevid_example8,50.0
205,206,760,634,179,framenr_206_framevid_example8,50.0
206,207,770,646,178,framenr_207_framevid_example8,50.0
207,208,768,656,171,framenr_208_framevid_example8,50.0
208,209,770,662,168,framenr_209_framevid_example8,50.0
209,210,784,662,190,framenr_210_framevid_example8,50.0
210,211,780,664,169,framenr_211_framevid_example8,50.0
211,212,784,668,185,framenr_212_framevid_example8,50.0
212,213,784,668,170,framenr_213_framevid_example8,50.0
213,214,784,668,168,framenr_214_framevid_example8,50.0
214,215,780,668,164,framenr_215_framevid_example8,50.0
215,216,794,666,185,framenr_216_framevid_example8,50.0
216,217,804,664,191,framenr_217_framevid_example8,50.0
217,218,802,662,184,framenr_218_framevid_example8,50.0
218,219,800,666,179,framenr_219_framevid_example8,50.0
219,220,800,654,170,framenr_220_framevid_example8,50.0
220,221,812,662,171,framenr_221_framevid_example8,50.0
221,222,816,660,170,framenr_222_framevid_example8,50.0
222,223,834,642,190,framenr_223_framevid_example8,50.0
223,224,846,632,201,framenr_224_framevid_example8,50.0
224,225,832,648,180,framenr_225_framevid_example8,50.0
225,226,822,656,164,framenr_226_framevid_example8,50.0
226,227,820,656,161,framenr_227_framevid_example8,50.0
227,228,824,654,164,framenr_228_framevid_example8,50.0
228,229,824,656,162,framenr_229_framevid_example8,50.0
229,230,864,624,212,framenr_230_framevid_example8,50.0
230,231,824,656,160,framenr_231_framevid_example8,50.0
231,232,816,668,158,framenr_232_framevid_example8,50.0
232,233,828,652,162,framenr_233_framevid_example8,50.0
233,234,834,644,171,framenr_234_framevid_example8,50.0
234,235,826,654,157,framenr_235_framevid_example8,50.0
235,236,858,630,194,framenr_236_framevid_example8,50.0
236,237,846,638,181,framenr_237_framevid_example8,50.0
237,238,854,628,190,framenr_238_framevid_example8,50.0
238,239,864,620,201,framenr_239_framevid_example8,50.0
239,240,794,650,173,framenr_240_framevid_example8,50.0
240,241,782,630,172,framenr_241_framevid_example8,50.0
241,242,860,616,197,framenr_242_framevid_example8,50.0
242,243,1162,442,165,framenr_243_framevid_example8,50.0
243,244,1478,324,133,framenr_244_framevid_example8,50.0
244,245,848,634,175,framenr_245_framevid_example8,50.0
245,246,846,636,172,framenr_246_framevid_example8,50.0
246,247,860,610,116,framenr_247_framevid_example8,50.0
247,248,1310,408,189,framenr_248_framevid_example8,50.0
248,249,860,580,212,framenr_249_framevid_example8,50.0
249,250,470,494,51,framenr_250_framevid_example8,50.0
250,251,842,640,162,framenr_251_framevid_example8,50.0
251,252,1166,500,222,framenr_252_framevid_example8,50.0
252,253,852,632,172,framenr_253_framevid_example8,50.0
253,254,864,620,203,framenr_254_framevid_example8,50.0
254,255,1170,472,175,framenr_255_framevid_example8,50.0
255,256,1186,500,206,framenr_256_framevid_example8,50.0
256,257,866,638,193,framenr_257_framevid_example8,50.0
257,258,1010,866,144,framenr_258_framevid_example8,50.0
258,259,1188,498,206,framenr_259_framevid_example8,50.0
259,260,1190,500,208,framenr_260_framevid_example8,50.0
260,261,1158,792,142,framenr_261_framevid_example8,50.0
261,262,1208,458,181,framenr_262_framevid_example8,50.0
262,263,1170,450,117,framenr_263_framevid_example8,50.0
263,264,860,600,106,framenr_264_framevid_example8,50.0
264,265,872,628,194,framenr_265_framevid_example8,50.0
265,266,862,632,183,framenr_266_framevid_example8,50.0
266,267,850,640,174,framenr_267_framevid_example8,50.0
267,268,840,648,165,framenr_268_framevid_example8,50.0
268,269,830,658,171,framenr_269_framevid_example8,50.0
269,270,854,636,197,framenr_270_framevid_example8,50.0
270,271,824,654,173,framenr_271_framevid_example8,50.0
271,272,834,632,208,framenr_272_framevid_example8,50.0
272,273,818,642,202,framenr_273_framevid_example8,50.0
273,274,772,684,169,framenr_274_framevid_example8,50.0
274,275,750,704,153,framenr_275_framevid_example8,50.0
275,276,750,700,167,framenr_276_framevid_example8,50.0
276,277,766,680,182,framenr_277_framevid_example8,50.0
277,278,768,680,186,framenr_278_framevid_example8,50.0
278,279,758,692,169,framenr_279_framevid_example8,50.0
279,280,776,682,188,framenr_280_framevid_example8,50.0
280,281,758,710,170,framenr_281_framevid_example8,50.0
281,282,774,696,183,framenr_282_framevid_example8,50.0
282,283,746,728,161,framenr_283_framevid_example8,50.0
283,284,768,708,180,framenr_284_framevid_example8,50.0
284,285,756,722,168,framenr_285_framevid_example8,50.0
285,286,736,746,154,framenr_286_framevid_example8,50.0
286,287,764,718,180,framenr_287_framevid_example8,50.0
287,288,758,726,171,framenr_288_framevid_example8,50.0
288,289,770,712,187,framenr_289_framevid_example8,50.0
289,290,740,746,155,framenr_290_framevid_example8,50.0
290,291,742,744,157,framenr_291_framevid_example8,50.0
291,292,762,724,170,framenr_292_framevid_example8,50.0
292,293,770,716,180,framenr_293_framevid_example8,50.0
293,294,776,710,188,framenr_294_framevid_example8,50.0
294,295,746,746,156,framenr_295_framevid_example8,50.0
295,296,744,744,158,framenr_296_framevid_example8,50.0
