"X.1","Label","X","Y","Perim.","name","radius_man"
6,"Batch13:framenr_66_framevid_June09_01.jpeg",912,507,1382.301,"framenr_66_framevid_June09_01",220
7,"Batch13:framenr_66_framevid_June09_02.jpeg",806,579,1394.867,"framenr_66_framevid_June09_02",222
8,"Batch13:framenr_66_framevid_June12_02.jpeg",94,43,56.549,"framenr_66_framevid_June12_02",9
9,"Batch13:framenr_66_framevid_June12_03.jpeg",94,43,56.549,"framenr_66_framevid_June12_03",9
10,"Batch13:framenr_66_framevid_June16_02.jpeg",1056,715,942.478,"framenr_66_framevid_June16_02",150
11,"Batch13:framenr_66_framevid_June16_07.jpeg",1054.5,525.5,1240.929,"framenr_66_framevid_June16_07",197
12,"Batch13:framenr_66_framevid_June16_20.jpeg",860,542,1482.832,"framenr_66_framevid_June16_20",236
13,"Batch13:framenr_67_framevid_June09_01.jpeg",904,506,1388.584,"framenr_67_framevid_June09_01",221
14,"Batch13:framenr_67_framevid_June09_02.jpeg",816,567,1470.265,"framenr_67_framevid_June09_02",234
15,"Batch13:framenr_67_framevid_June12_02.jpeg",100.5,66.5,21.991,"framenr_67_framevid_June12_02",3
16,"Batch13:framenr_67_framevid_June12_03.jpeg",100.5,66.5,21.991,"framenr_67_framevid_June12_03",3
17,"Batch13:framenr_67_framevid_June16_02.jpeg",1060,685,1011.593,"framenr_67_framevid_June16_02",161
18,"Batch13:framenr_67_framevid_June16_07.jpeg",1051,525,1218.938,"framenr_67_framevid_June16_07",194
19,"Batch13:framenr_67_framevid_June16_20.jpeg",859.5,544.5,1511.106,"framenr_67_framevid_June16_20",240
20,"Batch13:framenr_68_framevid_June09_01.jpeg",901.5,486.5,1410.575,"framenr_68_framevid_June09_01",224
21,"Batch13:framenr_68_framevid_June09_02.jpeg",815.5,570.5,1460.841,"framenr_68_framevid_June09_02",233
22,"Batch13:framenr_68_framevid_June12_02.jpeg",106,90,37.699,"framenr_68_framevid_June12_02",6
23,"Batch13:framenr_68_framevid_June12_03.jpeg",106,90,37.699,"framenr_68_framevid_June12_03",6
24,"Batch13:framenr_68_framevid_June16_02.jpeg",1053,686,967.611,"framenr_68_framevid_June16_02",154
25,"Batch13:framenr_68_framevid_June16_07.jpeg",1040.5,522.5,1146.681,"framenr_68_framevid_June16_07",182
26,"Batch13:framenr_68_framevid_June16_20.jpeg",861.5,541.5,1498.54,"framenr_68_framevid_June16_20",239
27,"Batch13:framenr_69_framevid_June09_01.jpeg",910,520,1269.203,"framenr_69_framevid_June09_01",202
28,"Batch13:framenr_69_framevid_June09_02.jpeg",803.5,580.5,1398.009,"framenr_69_framevid_June09_02",223
29,"Batch13:framenr_69_framevid_June12_02.jpeg",74.5,88.5,53.407,"framenr_69_framevid_June12_02",8
30,"Batch13:framenr_69_framevid_June12_03.jpeg",74.5,88.5,53.407,"framenr_69_framevid_June12_03",8
31,"Batch13:framenr_69_framevid_June16_02.jpeg",1069,683,1030.442,"framenr_69_framevid_June16_02",164
32,"Batch13:framenr_69_framevid_June16_07.jpeg",1045.5,520.5,1184.38,"framenr_69_framevid_June16_07",188
33,"Batch13:framenr_69_framevid_June16_20.jpeg",857,547,1470.265,"framenr_69_framevid_June16_20",234
34,"Batch13:framenr_70_framevid_June09_01.jpeg",896,520,1275.487,"framenr_70_framevid_June09_01",203
35,"Batch13:framenr_70_framevid_June09_02.jpeg",811,562,1451.416,"framenr_70_framevid_June09_02",231
36,"Batch13:framenr_70_framevid_June12_02.jpeg",94.5,68.5,9.425,"framenr_70_framevid_June12_02",2
37,"Batch13:framenr_70_framevid_June12_03.jpeg",94.5,68.5,9.425,"framenr_70_framevid_June12_03",2
38,"Batch13:framenr_70_framevid_June16_02.jpeg",1052,703,923.628,"framenr_70_framevid_June16_02",147
39,"Batch13:framenr_70_framevid_June16_07.jpeg",1056,503,1269.203,"framenr_70_framevid_June16_07",202
40,"Batch13:framenr_70_framevid_June16_20.jpeg",862,536,1551.947,"framenr_70_framevid_June16_20",247
41,"Batch13:framenr_71_framevid_June09_01.jpeg",890,508,1300.619,"framenr_71_framevid_June09_01",207
42,"Batch13:framenr_71_framevid_June09_02.jpeg",797,572,1338.318,"framenr_71_framevid_June09_02",213
43,"Batch13:framenr_71_framevid_June12_02.jpeg",67,105,37.699,"framenr_71_framevid_June12_02",6
44,"Batch13:framenr_71_framevid_June12_03.jpeg",67,105,37.699,"framenr_71_framevid_June12_03",6
45,"Batch13:framenr_71_framevid_June16_02.jpeg",1058,688,986.46,"framenr_71_framevid_June16_02",157
46,"Batch13:framenr_71_framevid_June16_07.jpeg",1057.5,499.5,1310.044,"framenr_71_framevid_June16_07",208
47,"Batch13:framenr_71_framevid_June16_20.jpeg",868.5,530.5,1561.372,"framenr_71_framevid_June16_20",249
48,"Batch13:framenr_72_framevid_June09_01.jpeg",890,487,1332.035,"framenr_72_framevid_June09_01",212
49,"Batch13:framenr_72_framevid_June09_02.jpeg",814,549,1470.265,"framenr_72_framevid_June09_02",234
50,"Batch13:framenr_72_framevid_June12_02.jpeg",82.5,70.5,28.274,"framenr_72_framevid_June12_02",4
1,"Batch14:framenr_72_framevid_June12_03.jpeg",86.5,75.5,53.407,"framenr_72_framevid_June12_03",8
2,"Batch14:framenr_72_framevid_June16_02.jpeg",1042.5,693.5,895.354,"framenr_72_framevid_June16_02",143
3,"Batch14:framenr_72_framevid_June16_07.jpeg",1046.5,518.5,1190.664,"framenr_72_framevid_June16_07",190
4,"Batch14:framenr_72_framevid_June16_20.jpeg",867,533,1545.664,"framenr_72_framevid_June16_20",246
5,"Batch14:framenr_73_framevid_June09_01.jpeg",918.5,482.5,1310.044,"framenr_73_framevid_June09_01",208
6,"Batch14:framenr_73_framevid_June09_02.jpeg",833.5,546.5,1504.823,"framenr_73_framevid_June09_02",240
