"radius,""x"",""y"",""frame_number"",""videofile"",""normalization_value"",""norm_radius"""
"NaN,NaN,NaN,""15"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""16"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""17"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""18"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"112.742761298324,""829.179413829803"",""710.565853523569"",""19"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.36434941080355"
"NaN,NaN,NaN,""20"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"120.015505218784,""834.050574040078"",""704.408877135701"",""21"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.45236006238365"
"NaN,NaN,NaN,""22"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""23"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""24"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"119.09281097288,""833.127304838012"",""701.68761835135"",""25"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.44119413619687"
"NaN,NaN,NaN,""26"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""27"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""28"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"110.744251521299,""823.105858301065"",""703.918306488075"",""29"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.34016457086022"
"NaN,NaN,NaN,""30"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"132.064643676955,""835.743864153145"",""683.214868352113"",""31"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.59817195102985"
"NaN,NaN,NaN,""32"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"100.028801302118,""817.706321914091"",""715.756710808064"",""33"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.21049222627084"
"112.647056611009,""821.286145337871"",""701.474362409507"",""34"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.36319124656981"
"NaN,NaN,NaN,""35"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"114.660818579976,""820.572492243867"",""699.258600384881"",""36"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.38756065995138"
"NaN,NaN,NaN,""37"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"114.716993746075,""813.837718777679"",""699.659534047714"",""38"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.38824046017879"
"117.988102818468,""813.565529931058"",""697.753997611509"",""39"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.42782558018294"
"118.553038511979,""810.563634494433"",""699.0282078538"",""40"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.43466211382561"
"114.073369089034,""805.882364956706"",""704.582766295041"",""41"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.38045167700991"
"108.298275212737,""797.632834378766"",""712.688518708133"",""42"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.31056474292452"
"110.71818709064,""797.207880294093"",""711.556306829101"",""43"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.33984915379749"
"111.353069885873,""796.730447191536"",""712.184820107655"",""44"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.34753214787738"
"108.304695222764,""793.333852092521"",""714.970773156276"",""45"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.3106424342707"
"103.445981897373,""790.453891649744"",""720.974569813506"",""46"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.25184502159053"
"NaN,NaN,NaN,""47"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""48"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"117.897440211616,""797.979248733149"",""704.796947975671"",""49"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.42672843236772"
"100.804846805426,""790.545885586183"",""724.136161870959"",""50"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.21988349195391"
"124.50813541054,""804.720228498396"",""701.176614364421"",""51"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.50672734312517"
"NaN,NaN,NaN,""52"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""53"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"108.557998268777,""789.372638932852"",""717.913942932486"",""54"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.31370776509641"
"NaN,NaN,NaN,""55"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""56"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""57"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"101.372708126348,""783.283135931664"",""715.697247125581"",""58"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.22675542989206"
"108.262128145802,""783.232904862575"",""702.261077804208"",""59"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.3101273114752"
"NaN,NaN,NaN,""60"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""61"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"119.367216519887,""788.931709321153"",""683.937285570538"",""62"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.4445148376066"
"NaN,NaN,NaN,""63"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
