,x,y,r,inputfile
70,1119.0362113516912,675.1980467380621,201.63880309125915,framenr_71_framevid_example9
71,1115.443242313057,682.2008715774547,189.26673755061788,framenr_72_framevid_example9
72,1113.0278331127543,689.2166195386903,181.23294003023273,framenr_73_framevid_example9
73,1113.6917807647776,693.262477427605,178.96732478756076,framenr_74_framevid_example9
74,1117.6808719931796,692.3554370201316,181.88375426700222,framenr_75_framevid_example9
75,1123.352827095756,686.4612583419595,187.86501763127836,framenr_76_framevid_example9
76,1127.9389676179699,677.6010545051789,194.3174725692195,framenr_77_framevid_example9
77,1128.9270360737742,669.0680335318203,199.278868128173,framenr_78_framevid_example9
78,1125.37262907345,664.1040432181237,202.08207934659208,framenr_79_framevid_example9
79,1118.4728189201346,664.6165361678786,203.3223686240738,framenr_80_framevid_example9
80,1111.09617219518,670.4805021649404,204.21702759523222,framenr_81_framevid_example9
81,1106.478939711985,679.6918168819918,205.72085564779206,framenr_82_framevid_example9
82,1106.7105106640163,689.2544227216358,207.8495484379,framenr_83_framevid_example9
83,1111.7373327154255,696.3740343643587,209.5397516633105,framenr_84_framevid_example9
84,1119.3633476542782,699.4337293299856,209.10940161777103,framenr_85_framevid_example9
85,1126.2445739957684,698.3737345684108,205.10122730949718,framenr_86_framevid_example9
86,1129.4044915582951,694.4034435902447,197.11854303310494,framenr_87_framevid_example9
87,1127.5630581378653,689.2814264728755,186.26367114742834,framenr_88_framevid_example9
88,1121.6796805498616,684.5607321402998,174.9564726724745,framenr_89_framevid_example9
89,1114.4935727708391,681.1457809870925,166.1686403140726,framenr_90_framevid_example9
90,1109.3087855806932,679.289035760969,162.35285237429747,framenr_91_framevid_example9
91,1108.594351519193,678.8994966406002,164.479926771142,framenr_92_framevid_example9
92,1113.013396578333,679.8825400020521,171.5714175622493,framenr_93_framevid_example9
93,1121.2620138530142,682.2594486287528,180.9387657829627,framenr_94_framevid_example9
94,1130.7198938406511,685.9978505312687,189.0766463706586,framenr_95_framevid_example9
95,1138.5732057546243,690.705445389827,192.90361064550797,framenr_96_framevid_example9
96,1142.910043936451,695.4606733177826,190.89402988262836,framenr_97_framevid_example9
97,1143.3544094897163,698.9945542278944,183.66468571498447,framenr_98_framevid_example9
98,1141.0367619091714,700.2235894976974,173.770717959933,framenr_99_framevid_example9
99,1137.9787722537164,698.8865068752277,164.7656145728846,framenr_100_framevid_example9
100,1136.1813809535004,695.9096580433992,159.87535770074905,framenr_101_framevid_example9
101,1136.7829915816317,693.2110274935277,160.80535122990406,framenr_102_framevid_example9
102,1139.5957102574719,692.9273024813448,167.15988488234277,framenr_103_framevid_example9
103,1143.1744244660863,696.3747804447163,176.70965438166192,framenr_104_framevid_example9
104,1145.3854931702365,703.2515293757006,186.3866014088421,framenr_105_framevid_example9
105,1144.2737359072262,711.5296169832253,193.5689981780243,framenr_106_framevid_example9
106,1138.9209917920875,718.1783061793188,197.088885918573,framenr_107_framevid_example9
107,1129.9767067036546,720.4460455004215,197.51841190310543,framenr_108_framevid_example9
108,1119.6337601286832,717.1232875093309,196.6251691265074,framenr_109_framevid_example9
109,1111.0062237405232,709.1782749144364,196.28049764754633,framenr_110_framevid_example9
110,1107.0883592374805,699.434794919826,197.37246233520867,framenr_111_framevid_example9
111,1109.6543185299665,691.4145968885531,199.28183036177725,framenr_112_framevid_example9
112,1118.5132154364292,687.8706164086639,200.21069508997567,framenr_113_framevid_example9
113,1131.4230028208128,689.6843736949602,198.22981327164598,framenr_114_framevid_example9
114,1144.7196871075248,695.6166609653059,192.5344550362178,framenr_115_framevid_example9
115,1154.4362217598223,702.9812090829505,184.2576710866818,framenr_116_framevid_example9
116,1157.4950640918164,708.8731288393474,176.36513470265638,framenr_117_framevid_example9
117,1152.549383721317,711.3488437534944,172.57687483704436,framenr_118_framevid_example9
118,1140.2219607543695,710.0307297232441,175.7358698853897,framenr_119_framevid_example9
119,1122.7571309062976,705.9396632329199,186.34609705862098,framenr_120_framevid_example9
