,frame,x,y,r,namefr,sample_rate
49,50,672,584,266,framenr_50_framevid_example8,50.0
50,51,1266,520,162,framenr_51_framevid_example8,50.0
51,52,702,600,84,framenr_52_framevid_example8,50.0
52,53,702,604,86,framenr_53_framevid_example8,50.0
53,54,690,600,78,framenr_54_framevid_example8,50.0
54,55,1436,294,180,framenr_55_framevid_example8,50.0
55,56,690,590,76,framenr_56_framevid_example8,50.0
56,57,704,590,90,framenr_57_framevid_example8,50.0
57,58,656,576,208,framenr_58_framevid_example8,50.0
58,59,700,576,87,framenr_59_framevid_example8,50.0
59,60,708,576,92,framenr_60_framevid_example8,50.0
60,61,694,562,78,framenr_61_framevid_example8,50.0
61,62,714,570,95,framenr_62_framevid_example8,50.0
62,63,702,568,85,framenr_63_framevid_example8,50.0
63,64,698,566,81,framenr_64_framevid_example8,50.0
64,65,1030,784,164,framenr_65_framevid_example8,50.0
65,66,702,566,81,framenr_66_framevid_example8,50.0
66,67,712,566,90,framenr_67_framevid_example8,50.0
67,68,712,564,89,framenr_68_framevid_example8,50.0
68,69,706,562,81,framenr_69_framevid_example8,50.0
69,70,708,560,81,framenr_70_framevid_example8,50.0
70,71,710,560,81,framenr_71_framevid_example8,50.0
71,72,698,554,68,framenr_72_framevid_example8,50.0
72,73,714,558,81,framenr_73_framevid_example8,50.0
73,74,738,562,101,framenr_74_framevid_example8,50.0
74,75,730,560,94,framenr_75_framevid_example8,50.0
75,76,726,560,89,framenr_76_framevid_example8,50.0
76,77,730,564,89,framenr_77_framevid_example8,50.0
77,78,734,562,94,framenr_78_framevid_example8,50.0
78,79,734,562,91,framenr_79_framevid_example8,50.0
79,80,730,524,166,framenr_80_framevid_example8,50.0
80,81,704,552,208,framenr_81_framevid_example8,50.0
81,82,742,554,93,framenr_82_framevid_example8,50.0
82,83,742,556,91,framenr_83_framevid_example8,50.0
83,84,774,478,116,framenr_84_framevid_example8,50.0
84,85,750,540,97,framenr_85_framevid_example8,50.0
85,86,760,550,103,framenr_86_framevid_example8,50.0
86,87,750,544,94,framenr_87_framevid_example8,50.0
87,88,752,546,94,framenr_88_framevid_example8,50.0
88,89,752,546,92,framenr_89_framevid_example8,50.0
89,90,752,552,92,framenr_90_framevid_example8,50.0
90,91,750,546,182,framenr_91_framevid_example8,50.0
91,92,506,460,94,framenr_92_framevid_example8,50.0
92,93,760,466,102,framenr_93_framevid_example8,50.0
93,94,812,514,187,framenr_94_framevid_example8,50.0
94,95,758,550,91,framenr_95_framevid_example8,50.0
95,96,786,488,84,framenr_96_framevid_example8,50.0
96,97,818,500,176,framenr_97_framevid_example8,50.0
97,98,816,516,192,framenr_98_framevid_example8,50.0
98,99,822,502,178,framenr_99_framevid_example8,50.0
99,100,826,508,182,framenr_100_framevid_example8,50.0
100,101,812,562,236,framenr_101_framevid_example8,50.0
101,102,822,530,207,framenr_102_framevid_example8,50.0
102,103,840,496,170,framenr_103_framevid_example8,50.0
103,104,830,532,94,framenr_104_framevid_example8,50.0
104,105,812,584,176,framenr_105_framevid_example8,50.0
105,106,1240,508,190,framenr_106_framevid_example8,50.0
106,107,1212,424,153,framenr_107_framevid_example8,50.0
107,108,844,554,228,framenr_108_framevid_example8,50.0
108,109,902,556,114,framenr_109_framevid_example8,50.0
109,110,850,568,238,framenr_110_framevid_example8,50.0
110,111,854,576,245,framenr_111_framevid_example8,50.0
111,112,934,568,106,framenr_112_framevid_example8,50.0
112,113,1208,424,149,framenr_113_framevid_example8,50.0
113,114,1202,420,140,framenr_114_framevid_example8,50.0
114,115,936,586,68,framenr_115_framevid_example8,50.0
115,116,944,586,67,framenr_116_framevid_example8,50.0
116,117,1194,420,136,framenr_117_framevid_example8,50.0
117,118,974,602,70,framenr_118_framevid_example8,50.0
118,119,1196,430,146,framenr_119_framevid_example8,50.0
119,120,1078,602,149,framenr_120_framevid_example8,50.0
120,121,1250,532,162,framenr_121_framevid_example8,50.0
121,122,1198,438,154,framenr_122_framevid_example8,50.0
122,123,1022,606,129,framenr_123_framevid_example8,50.0
123,124,950,916,51,framenr_124_framevid_example8,50.0
124,125,952,920,46,framenr_125_framevid_example8,50.0
125,126,1204,466,181,framenr_126_framevid_example8,50.0
126,127,1134,728,207,framenr_127_framevid_example8,50.0
127,128,1482,310,147,framenr_128_framevid_example8,50.0
128,129,1104,624,102,framenr_129_framevid_example8,50.0
129,130,1184,478,127,framenr_130_framevid_example8,50.0
130,131,1088,636,119,framenr_131_framevid_example8,50.0
131,132,1158,440,134,framenr_132_framevid_example8,50.0
132,133,1180,486,133,framenr_133_framevid_example8,50.0
133,134,1054,678,162,framenr_134_framevid_example8,50.0
134,135,1172,494,134,framenr_135_framevid_example8,50.0
135,136,1154,450,137,framenr_136_framevid_example8,50.0
136,137,1142,598,32,framenr_137_framevid_example8,50.0
137,138,1084,654,154,framenr_138_framevid_example8,50.0
138,139,1296,430,153,framenr_139_framevid_example8,50.0
139,140,1292,438,158,framenr_140_framevid_example8,50.0
140,141,1110,672,171,framenr_141_framevid_example8,50.0
141,142,1074,662,139,framenr_142_framevid_example8,50.0
142,143,1062,650,144,framenr_143_framevid_example8,50.0
143,144,1300,422,154,framenr_144_framevid_example8,50.0
144,145,1156,502,132,framenr_145_framevid_example8,50.0
145,146,1302,422,184,framenr_146_framevid_example8,50.0
146,147,1158,540,208,framenr_147_framevid_example8,50.0
147,148,1070,662,111,framenr_148_framevid_example8,50.0
148,149,1136,456,132,framenr_149_framevid_example8,50.0
149,150,1178,430,139,framenr_150_framevid_example8,50.0
150,151,1124,454,126,framenr_151_framevid_example8,50.0
151,152,1054,652,129,framenr_152_framevid_example8,50.0
152,153,1042,694,188,framenr_153_framevid_example8,50.0
153,154,1034,646,141,framenr_154_framevid_example8,50.0
154,155,1056,662,140,framenr_155_framevid_example8,50.0
155,156,1052,652,136,framenr_156_framevid_example8,50.0
156,157,1042,656,127,framenr_157_framevid_example8,50.0
157,158,490,646,118,framenr_158_framevid_example8,50.0
158,159,1054,658,139,framenr_159_framevid_example8,50.0
159,160,1132,500,127,framenr_160_framevid_example8,50.0
160,161,1056,658,141,framenr_161_framevid_example8,50.0
161,162,1260,444,152,framenr_162_framevid_example8,50.0
162,163,1056,656,142,framenr_163_framevid_example8,50.0
163,164,1114,464,136,framenr_164_framevid_example8,50.0
164,165,1056,654,146,framenr_165_framevid_example8,50.0
165,166,1156,518,207,framenr_166_framevid_example8,50.0
166,167,1140,490,175,framenr_167_framevid_example8,50.0
167,168,1136,492,175,framenr_168_framevid_example8,50.0
168,169,1020,690,187,framenr_169_framevid_example8,50.0
169,170,1004,700,166,framenr_170_framevid_example8,50.0
170,171,954,626,58,framenr_171_framevid_example8,50.0
171,172,942,624,51,framenr_172_framevid_example8,50.0
172,173,1124,524,221,framenr_173_framevid_example8,50.0
173,174,1252,446,162,framenr_174_framevid_example8,50.0
174,175,944,890,89,framenr_175_framevid_example8,50.0
175,176,1138,524,117,framenr_176_framevid_example8,50.0
176,177,1118,488,178,framenr_177_framevid_example8,50.0
177,178,900,578,54,framenr_178_framevid_example8,50.0
178,179,1090,484,120,framenr_179_framevid_example8,50.0
179,180,1106,496,134,framenr_180_framevid_example8,50.0
180,181,794,572,223,framenr_181_framevid_example8,50.0
181,182,1136,540,191,framenr_182_framevid_example8,50.0
182,183,1106,494,134,framenr_183_framevid_example8,50.0
183,184,1114,512,203,framenr_184_framevid_example8,50.0
184,185,926,742,173,framenr_185_framevid_example8,50.0
185,186,928,602,133,framenr_186_framevid_example8,50.0
186,187,1100,802,143,framenr_187_framevid_example8,50.0
187,188,1126,542,47,framenr_188_framevid_example8,50.0
188,189,944,842,140,framenr_189_framevid_example8,50.0
189,190,1116,506,160,framenr_190_framevid_example8,50.0
190,191,1098,508,120,framenr_191_framevid_example8,50.0
191,192,786,398,80,framenr_192_framevid_example8,50.0
192,193,238,314,41,framenr_193_framevid_example8,50.0
193,194,1092,498,131,framenr_194_framevid_example8,50.0
194,195,796,558,102,framenr_195_framevid_example8,50.0
195,196,814,610,168,framenr_196_framevid_example8,50.0
196,197,796,618,179,framenr_197_framevid_example8,50.0
197,198,760,644,152,framenr_198_framevid_example8,50.0
198,199,790,592,205,framenr_199_framevid_example8,50.0
199,200,768,616,177,framenr_200_framevid_example8,50.0
200,201,802,600,214,framenr_201_framevid_example8,50.0
201,202,786,628,207,framenr_202_framevid_example8,50.0
202,203,810,596,232,framenr_203_framevid_example8,50.0
203,204,744,646,167,framenr_204_framevid_example8,50.0
204,205,774,636,199,framenr_205_framevid_example8,50.0
205,206,750,656,170,framenr_206_framevid_example8,50.0
206,207,772,650,191,framenr_207_framevid_example8,50.0
207,208,778,656,193,framenr_208_framevid_example8,50.0
208,209,772,662,169,framenr_209_framevid_example8,50.0
209,210,782,660,188,framenr_210_framevid_example8,50.0
210,211,764,678,164,framenr_211_framevid_example8,50.0
211,212,786,668,186,framenr_212_framevid_example8,50.0
212,213,792,662,181,framenr_213_framevid_example8,50.0
213,214,780,672,163,framenr_214_framevid_example8,50.0
214,215,792,666,186,framenr_215_framevid_example8,50.0
215,216,776,682,161,framenr_216_framevid_example8,50.0
216,217,794,664,169,framenr_217_framevid_example8,50.0
217,218,814,662,196,framenr_218_framevid_example8,50.0
218,219,800,664,167,framenr_219_framevid_example8,50.0
219,220,786,682,156,framenr_220_framevid_example8,50.0
220,221,832,644,196,framenr_221_framevid_example8,50.0
221,222,826,640,205,framenr_222_framevid_example8,50.0
222,223,804,662,169,framenr_223_framevid_example8,50.0
223,224,830,646,181,framenr_224_framevid_example8,50.0
224,225,836,646,185,framenr_225_framevid_example8,50.0
225,226,830,652,172,framenr_226_framevid_example8,50.0
226,227,826,654,168,framenr_227_framevid_example8,50.0
227,228,802,674,148,framenr_228_framevid_example8,50.0
228,229,806,674,151,framenr_229_framevid_example8,50.0
229,230,868,620,216,framenr_230_framevid_example8,50.0
230,231,820,646,156,framenr_231_framevid_example8,50.0
231,232,828,656,161,framenr_232_framevid_example8,50.0
232,233,834,646,170,framenr_233_framevid_example8,50.0
233,234,850,634,203,framenr_234_framevid_example8,50.0
234,235,836,644,170,framenr_235_framevid_example8,50.0
235,236,830,650,161,framenr_236_framevid_example8,50.0
236,237,840,642,172,framenr_237_framevid_example8,50.0
237,238,836,644,167,framenr_238_framevid_example8,50.0
238,239,862,622,198,framenr_239_framevid_example8,50.0
239,240,830,650,156,framenr_240_framevid_example8,50.0
240,241,788,652,181,framenr_241_framevid_example8,50.0
241,242,852,618,191,framenr_242_framevid_example8,50.0
242,243,812,666,144,framenr_243_framevid_example8,50.0
243,244,844,636,172,framenr_244_framevid_example8,50.0
244,245,818,664,148,framenr_245_framevid_example8,50.0
245,246,840,640,165,framenr_246_framevid_example8,50.0
246,247,866,610,204,framenr_247_framevid_example8,50.0
247,248,860,622,191,framenr_248_framevid_example8,50.0
248,249,862,624,191,framenr_249_framevid_example8,50.0
249,250,848,638,170,framenr_250_framevid_example8,50.0
250,251,846,640,165,framenr_251_framevid_example8,50.0
251,252,844,638,164,framenr_252_framevid_example8,50.0
252,253,866,612,198,framenr_253_framevid_example8,50.0
253,254,836,648,149,framenr_254_framevid_example8,50.0
254,255,850,636,167,framenr_255_framevid_example8,50.0
255,256,866,618,191,framenr_256_framevid_example8,50.0
256,257,844,642,158,framenr_257_framevid_example8,50.0
257,258,850,642,163,framenr_258_framevid_example8,50.0
258,259,862,574,81,framenr_259_framevid_example8,50.0
259,260,866,606,201,framenr_260_framevid_example8,50.0
260,261,866,618,192,framenr_261_framevid_example8,50.0
261,262,862,630,182,framenr_262_framevid_example8,50.0
262,263,870,622,194,framenr_263_framevid_example8,50.0
263,264,876,632,194,framenr_264_framevid_example8,50.0
264,265,846,644,164,framenr_265_framevid_example8,50.0
265,266,848,642,167,framenr_266_framevid_example8,50.0
266,267,840,646,162,framenr_267_framevid_example8,50.0
267,268,836,652,161,framenr_268_framevid_example8,50.0
268,269,838,648,171,framenr_269_framevid_example8,50.0
269,270,838,656,187,framenr_270_framevid_example8,50.0
270,271,882,616,256,framenr_271_framevid_example8,50.0
271,272,836,648,214,framenr_272_framevid_example8,50.0
272,273,788,676,172,framenr_273_framevid_example8,50.0
273,274,772,686,168,framenr_274_framevid_example8,50.0
274,275,772,688,164,framenr_275_framevid_example8,50.0
275,276,752,698,169,framenr_276_framevid_example8,50.0
276,277,748,698,171,framenr_277_framevid_example8,50.0
277,278,746,700,171,framenr_278_framevid_example8,50.0
278,279,746,706,164,framenr_279_framevid_example8,50.0
279,280,756,696,162,framenr_280_framevid_example8,50.0
280,281,750,716,161,framenr_281_framevid_example8,50.0
281,282,746,724,159,framenr_282_framevid_example8,50.0
282,283,750,726,164,framenr_283_framevid_example8,50.0
283,284,770,704,183,framenr_284_framevid_example8,50.0
284,285,738,742,156,framenr_285_framevid_example8,50.0
285,286,736,744,156,framenr_286_framevid_example8,50.0
286,287,738,746,157,framenr_287_framevid_example8,50.0
287,288,742,740,164,framenr_288_framevid_example8,50.0
288,289,752,740,154,framenr_289_framevid_example8,50.0
289,290,748,734,169,framenr_290_framevid_example8,50.0
290,291,814,684,236,framenr_291_framevid_example8,50.0
291,292,808,682,233,framenr_292_framevid_example8,50.0
292,293,776,712,187,framenr_293_framevid_example8,50.0
293,294,760,732,161,framenr_294_framevid_example8,50.0
294,295,784,706,197,framenr_295_framevid_example8,50.0
295,296,778,712,189,framenr_296_framevid_example8,50.0
296,297,738,750,151,framenr_297_framevid_example8,50.0
297,298,756,736,162,framenr_298_framevid_example8,50.0
298,299,744,746,164,framenr_299_framevid_example8,50.0
299,300,740,750,161,framenr_300_framevid_example8,50.0
300,301,740,748,162,framenr_301_framevid_example8,50.0
301,302,740,750,158,framenr_302_framevid_example8,50.0
302,303,742,744,162,framenr_303_framevid_example8,50.0
303,304,752,738,170,framenr_304_framevid_example8,50.0
304,305,758,724,170,framenr_305_framevid_example8,50.0
305,306,744,740,161,framenr_306_framevid_example8,50.0
306,307,752,730,172,framenr_307_framevid_example8,50.0
307,308,774,708,186,framenr_308_framevid_example8,50.0
308,309,778,710,187,framenr_309_framevid_example8,50.0
309,310,772,724,184,framenr_310_framevid_example8,50.0
310,311,766,728,175,framenr_311_framevid_example8,50.0
311,312,796,694,203,framenr_312_framevid_example8,50.0
312,313,794,700,194,framenr_313_framevid_example8,50.0
313,314,790,704,187,framenr_314_framevid_example8,50.0
314,315,768,726,168,framenr_315_framevid_example8,50.0
315,316,770,724,169,framenr_316_framevid_example8,50.0
316,317,770,726,165,framenr_317_framevid_example8,50.0
317,318,808,686,201,framenr_318_framevid_example8,50.0
318,319,786,710,180,framenr_319_framevid_example8,50.0
319,320,778,718,166,framenr_320_framevid_example8,50.0
320,321,790,700,184,framenr_321_framevid_example8,50.0
321,322,786,700,179,framenr_322_framevid_example8,50.0
322,323,786,702,176,framenr_323_framevid_example8,50.0
323,324,806,686,198,framenr_324_framevid_example8,50.0
324,325,796,692,167,framenr_325_framevid_example8,50.0
325,326,792,690,175,framenr_326_framevid_example8,50.0
326,327,804,684,180,framenr_327_framevid_example8,50.0
327,328,818,684,167,framenr_328_framevid_example8,50.0
328,329,814,674,176,framenr_329_framevid_example8,50.0
329,330,820,654,174,framenr_330_framevid_example8,50.0
330,331,818,664,173,framenr_331_framevid_example8,50.0
331,332,830,658,175,framenr_332_framevid_example8,50.0
332,333,846,644,171,framenr_333_framevid_example8,50.0
333,334,856,626,176,framenr_334_framevid_example8,50.0
334,335,842,628,173,framenr_335_framevid_example8,50.0
335,336,836,626,175,framenr_336_framevid_example8,50.0
336,337,866,612,201,framenr_337_framevid_example8,50.0
337,338,836,648,171,framenr_338_framevid_example8,50.0
338,339,836,640,160,framenr_339_framevid_example8,50.0
339,340,840,636,171,framenr_340_framevid_example8,50.0
340,341,862,594,197,framenr_341_framevid_example8,50.0
341,342,868,600,208,framenr_342_framevid_example8,50.0
342,343,866,634,197,framenr_343_framevid_example8,50.0
343,344,842,674,169,framenr_344_framevid_example8,50.0
344,345,834,658,170,framenr_345_framevid_example8,50.0
345,346,846,646,182,framenr_346_framevid_example8,50.0
346,347,840,646,175,framenr_347_framevid_example8,50.0
347,348,834,652,173,framenr_348_framevid_example8,50.0
348,349,840,678,175,framenr_349_framevid_example8,50.0
349,350,836,700,162,framenr_350_framevid_example8,50.0
350,351,812,680,210,framenr_351_framevid_example8,50.0
351,352,838,662,178,framenr_352_framevid_example8,50.0
352,353,840,660,176,framenr_353_framevid_example8,50.0
353,354,840,650,180,framenr_354_framevid_example8,50.0
354,355,830,670,182,framenr_355_framevid_example8,50.0
355,356,856,686,172,framenr_356_framevid_example8,50.0
356,357,836,718,150,framenr_357_framevid_example8,50.0
357,358,894,624,235,framenr_358_framevid_example8,50.0
358,359,846,658,180,framenr_359_framevid_example8,50.0
359,360,860,630,186,framenr_360_framevid_example8,50.0
360,361,840,634,181,framenr_361_framevid_example8,50.0
361,362,842,646,175,framenr_362_framevid_example8,50.0
362,363,872,652,185,framenr_363_framevid_example8,50.0
363,364,852,696,161,framenr_364_framevid_example8,50.0
364,365,874,660,177,framenr_365_framevid_example8,50.0
365,366,858,654,174,framenr_366_framevid_example8,50.0
366,367,866,636,181,framenr_367_framevid_example8,50.0
367,368,864,630,180,framenr_368_framevid_example8,50.0
368,369,882,602,202,framenr_369_framevid_example8,50.0
369,370,870,628,183,framenr_370_framevid_example8,50.0
370,371,848,674,160,framenr_371_framevid_example8,50.0
371,372,866,672,182,framenr_372_framevid_example8,50.0
372,373,880,656,181,framenr_373_framevid_example8,50.0
373,374,876,640,180,framenr_374_framevid_example8,50.0
374,375,860,638,179,framenr_375_framevid_example8,50.0
375,376,872,622,187,framenr_376_framevid_example8,50.0
376,377,864,636,180,framenr_377_framevid_example8,50.0
377,378,866,652,177,framenr_378_framevid_example8,50.0
378,379,868,680,177,framenr_379_framevid_example8,50.0
379,380,882,696,160,framenr_380_framevid_example8,50.0
380,381,912,668,193,framenr_381_framevid_example8,50.0
381,382,988,654,266,framenr_382_framevid_example8,50.0
382,383,924,690,190,framenr_383_framevid_example8,50.0
383,384,990,656,267,framenr_384_framevid_example8,50.0
384,385,890,740,142,framenr_385_framevid_example8,50.0
385,386,884,726,157,framenr_386_framevid_example8,50.0
386,387,868,740,141,framenr_387_framevid_example8,50.0
387,388,888,562,254,framenr_388_framevid_example8,50.0
388,389,882,516,204,framenr_389_framevid_example8,50.0
389,390,890,560,247,framenr_390_framevid_example8,50.0
390,391,918,502,168,framenr_391_framevid_example8,50.0
391,392,898,720,171,framenr_392_framevid_example8,50.0
392,393,896,562,249,framenr_393_framevid_example8,50.0
393,394,886,732,152,framenr_394_framevid_example8,50.0
394,395,892,722,160,framenr_395_framevid_example8,50.0
395,396,890,720,158,framenr_396_framevid_example8,50.0
396,397,900,710,168,framenr_397_framevid_example8,50.0
397,398,898,528,219,framenr_398_framevid_example8,50.0
398,399,898,528,219,framenr_399_framevid_example8,50.0
399,400,898,524,215,framenr_400_framevid_example8,50.0
400,401,900,528,219,framenr_401_framevid_example8,50.0
401,402,920,684,165,framenr_402_framevid_example8,50.0
402,403,976,628,221,framenr_403_framevid_example8,50.0
403,404,934,658,166,framenr_404_framevid_example8,50.0
404,405,948,642,183,framenr_405_framevid_example8,50.0
405,406,924,668,147,framenr_406_framevid_example8,50.0
406,407,926,666,162,framenr_407_framevid_example8,50.0
407,408,962,626,198,framenr_408_framevid_example8,50.0
408,409,950,630,186,framenr_409_framevid_example8,50.0
409,410,954,620,195,framenr_410_framevid_example8,50.0
410,411,922,652,168,framenr_411_framevid_example8,50.0
411,412,914,656,165,framenr_412_framevid_example8,50.0
412,413,908,650,171,framenr_413_framevid_example8,50.0
413,414,924,646,190,framenr_414_framevid_example8,50.0
414,415,912,648,166,framenr_415_framevid_example8,50.0
415,416,906,656,172,framenr_416_framevid_example8,50.0
416,417,922,646,191,framenr_417_framevid_example8,50.0
417,418,928,648,197,framenr_418_framevid_example8,50.0
418,419,922,650,192,framenr_419_framevid_example8,50.0
419,420,926,650,195,framenr_420_framevid_example8,50.0
420,421,922,648,182,framenr_421_framevid_example8,50.0
421,422,920,650,194,framenr_422_framevid_example8,50.0
422,423,930,638,198,framenr_423_framevid_example8,50.0
423,424,922,642,192,framenr_424_framevid_example8,50.0
424,425,894,668,171,framenr_425_framevid_example8,50.0
425,426,922,640,196,framenr_426_framevid_example8,50.0
426,427,918,642,194,framenr_427_framevid_example8,50.0
427,428,922,638,199,framenr_428_framevid_example8,50.0
428,429,898,656,186,framenr_429_framevid_example8,50.0
429,430,892,666,173,framenr_430_framevid_example8,50.0
430,431,912,654,195,framenr_431_framevid_example8,50.0
431,432,912,654,194,framenr_432_framevid_example8,50.0
432,433,910,654,191,framenr_433_framevid_example8,50.0
433,434,912,652,192,framenr_434_framevid_example8,50.0
434,435,894,666,171,framenr_435_framevid_example8,50.0
435,436,910,652,189,framenr_436_framevid_example8,50.0
436,437,924,642,192,framenr_437_framevid_example8,50.0
437,438,900,666,171,framenr_438_framevid_example8,50.0
438,439,928,640,194,framenr_439_framevid_example8,50.0
439,440,898,668,166,framenr_440_framevid_example8,50.0
440,441,906,656,178,framenr_441_framevid_example8,50.0
441,442,898,666,164,framenr_442_framevid_example8,50.0
442,443,938,626,204,framenr_443_framevid_example8,50.0
443,444,926,638,187,framenr_444_framevid_example8,50.0
444,445,918,646,176,framenr_445_framevid_example8,50.0
445,446,916,650,170,framenr_446_framevid_example8,50.0
446,447,906,652,175,framenr_447_framevid_example8,50.0
447,448,930,634,190,framenr_448_framevid_example8,50.0
448,449,928,638,185,framenr_449_framevid_example8,50.0
449,450,930,634,189,framenr_450_framevid_example8,50.0
450,451,930,636,188,framenr_451_framevid_example8,50.0
451,452,918,652,183,framenr_452_framevid_example8,50.0
452,453,926,640,183,framenr_453_framevid_example8,50.0
453,454,918,652,170,framenr_454_framevid_example8,50.0
454,455,914,654,178,framenr_455_framevid_example8,50.0
455,456,932,634,190,framenr_456_framevid_example8,50.0
456,457,912,654,162,framenr_457_framevid_example8,50.0
457,458,912,652,179,framenr_458_framevid_example8,50.0
458,459,924,640,182,framenr_459_framevid_example8,50.0
459,460,928,634,187,framenr_460_framevid_example8,50.0
460,461,920,640,179,framenr_461_framevid_example8,50.0
461,462,922,640,181,framenr_462_framevid_example8,50.0
462,463,914,654,181,framenr_463_framevid_example8,50.0
463,464,924,636,185,framenr_464_framevid_example8,50.0
464,465,910,654,177,framenr_465_framevid_example8,50.0
465,466,926,632,187,framenr_466_framevid_example8,50.0
466,467,918,640,177,framenr_467_framevid_example8,50.0
467,468,894,664,158,framenr_468_framevid_example8,50.0
468,469,920,636,180,framenr_469_framevid_example8,50.0
469,470,890,664,155,framenr_470_framevid_example8,50.0
470,471,918,636,180,framenr_471_framevid_example8,50.0
471,472,922,632,186,framenr_472_framevid_example8,50.0
472,473,914,638,176,framenr_473_framevid_example8,50.0
473,474,918,636,180,framenr_474_framevid_example8,50.0
474,475,910,638,173,framenr_475_framevid_example8,50.0
475,476,912,636,176,framenr_476_framevid_example8,50.0
476,477,920,628,187,framenr_477_framevid_example8,50.0
477,478,910,640,172,framenr_478_framevid_example8,50.0
478,479,914,634,180,framenr_479_framevid_example8,50.0
479,480,912,636,176,framenr_480_framevid_example8,50.0
480,481,914,634,181,framenr_481_framevid_example8,50.0
481,482,914,634,180,framenr_482_framevid_example8,50.0
482,483,914,634,180,framenr_483_framevid_example8,50.0
483,484,918,628,187,framenr_484_framevid_example8,50.0
484,485,916,628,185,framenr_485_framevid_example8,50.0
485,486,906,640,170,framenr_486_framevid_example8,50.0
486,487,912,634,179,framenr_487_framevid_example8,50.0
487,488,926,624,196,framenr_488_framevid_example8,50.0
488,489,880,664,152,framenr_489_framevid_example8,50.0
489,490,908,638,177,framenr_490_framevid_example8,50.0
490,491,884,652,152,framenr_491_framevid_example8,50.0
491,492,874,668,149,framenr_492_framevid_example8,50.0
492,493,898,652,180,framenr_493_framevid_example8,50.0
493,494,876,662,160,framenr_494_framevid_example8,50.0
494,495,902,636,185,framenr_495_framevid_example8,50.0
495,496,874,664,164,framenr_496_framevid_example8,50.0
496,497,886,652,188,framenr_497_framevid_example8,50.0
497,498,864,668,171,framenr_498_framevid_example8,50.0
498,499,866,660,188,framenr_499_framevid_example8,50.0
499,500,856,666,173,framenr_500_framevid_example8,50.0
500,501,836,680,182,framenr_501_framevid_example8,50.0
501,502,830,684,187,framenr_502_framevid_example8,50.0
502,503,804,710,162,framenr_503_framevid_example8,50.0
503,504,802,710,172,framenr_504_framevid_example8,50.0
504,505,804,712,168,framenr_505_framevid_example8,50.0
505,506,778,728,164,framenr_506_framevid_example8,50.0
506,507,788,708,194,framenr_507_framevid_example8,50.0
507,508,784,722,173,framenr_508_framevid_example8,50.0
508,509,790,712,187,framenr_509_framevid_example8,50.0
509,510,766,738,167,framenr_510_framevid_example8,50.0
510,511,778,730,166,framenr_511_framevid_example8,50.0
511,512,778,732,165,framenr_512_framevid_example8,50.0
512,513,760,748,156,framenr_513_framevid_example8,50.0
513,514,776,734,161,framenr_514_framevid_example8,50.0
