"radius","x","y","frame","videofile","normalization_value","norm_radius"
NA,NA,NA,"1","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,NA
NA,NA,NA,"2","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,NA
NA,NA,NA,"3","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,NA
"118.276668076086","988.303558480946","619.126160462203","4","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.86302025047109
"128.521164872897","985.334590415491","601.859846122705","5","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,3.11099985847196
NA,NA,NA,"6","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,NA
"123.000505250927","983.544880381395","610.32289516619","7","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.97736606111566
"119.987409537002","986.029123421543","619.340045944159","8","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.90443067845823
"119.799769252402","986.665272296323","618.196534682901","9","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.8998886335786
"116.94378033502","988.674732123971","623.836983979629","10","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.83075619825902
"116.123218176256","990.329938651884","626.853284205506","11","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.81089356503198
"115.044761180083","991.039016321928","629.965863156639","12","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.78478829617778
"114.909441976458","994.548805265999","633.603387121829","13","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.78151274211832
"113.850278517691","996.767772458989","637.23346575693","14","_Opp_August_14_Session_1_zoom_syncedboom_3_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",41.311851726031,2.75587449511378
NA,NA,NA,"1","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
NA,NA,NA,"2","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
NA,NA,NA,"3","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
NA,NA,NA,"4","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
"105.438069170517","1004.18947695887","625.723386301015","5","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.75129316479176
"104.448609284268","1000.92973368569","626.269779126959","6","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.72547427183129
"106.011950139017","995.313123890143","638.455386185836","7","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.76626797226367
"107.979037844496","988.104927214841","640.160367076981","8","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.81759701310448
"106.81794607132","979.787148336879","655.277405849701","9","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.78729957040313
"110.942780488695","971.536408703691","654.197501330327","10","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.89493269407185
NA,NA,NA,"11","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
"110.934211744435","969.916192846606","656.155328545174","12","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.89470910189401
